label,caption,left_url,right_url,unique_id,id,image_1_path,image_2_path
True,"The pot in one photo is above a non-lit stove, while in the other, the fire under the pot is lit.",39-0.jpg,39-11.jpg,0,0,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-11.jpg
False,"The pot in one photo is above a non-lit stove, while in the other, the fire under the pot is lit.",39-4.jpg,39-8.jpg,0,1,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-8.jpg
False,"The pot in one photo is above a non-lit stove, while in the other, the fire under the pot is lit.",39-9.jpg,39-6.jpg,0,2,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-9.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-6.jpg
True,"The pot in one photo is above a non-lit stove, while in the other, the fire under the pot is lit.",39-1.jpg,39-7.jpg,0,3,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-1.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/39-Panci/39-7.jpg
True,"There are several empty white plates in one photo, while in the other, there is one white plate with a blue image on it.",38-11.jpg,38-1.jpg,1,4,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-1.jpg
False,"There are several empty white plates in one photo, while in the other, there is one white plate with a blue image on it.",38-10.jpg,38-2.jpg,1,5,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-10.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-2.jpg
False,"There are several empty white plates in one photo, while in the other, there is one white plate with a blue image on it.",38-0.jpg,38-8.jpg,1,6,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-8.jpg
True,"There are several empty white plates in one photo, while in the other, there is one white plate with a blue image on it.",38-9.jpg,38-5.jpg,1,7,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-9.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/38-Piring/38-5.jpg
False,"In both photos, there is more than one person playing the gamelan.",51-4.jpg,51-5.jpg,2,8,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-5.jpg
True,"In both photos, there is more than one person playing the gamelan.",51-1.jpg,51-2.jpg,2,9,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-1.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-2.jpg
True,"In both photos, there is more than one person playing the gamelan.",51-8.jpg,51-9.jpg,2,10,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-8.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-9.jpg
False,"In both photos, there is more than one person playing the gamelan.",51-11.jpg,51-6.jpg,2,11,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/51-Gamelan/51-6.jpg
True,"There is liquid milk to drink in one of the pictures, and milk in the form of a dessert in the picture next to it.",62-2.jpg,62-9.jpg,3,12,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-2.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-9.jpg
True,"There is liquid milk to drink in one of the pictures, and milk in the form of a dessert in the picture next to it.",62-11.jpg,62-8.jpg,3,13,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-8.jpg
False,"There is liquid milk to drink in one of the pictures, and milk in the form of a dessert in the picture next to it.",62-4.jpg,62-6.jpg,3,14,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-6.jpg
False,"There is liquid milk to drink in one of the pictures, and milk in the form of a dessert in the picture next to it.",62-1.jpg,62-3.jpg,3,15,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-1.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/62-Susu/62-3.jpg
True,"The hoe in one of the pictures is placed and not held by anyone, while in the picture next to it, someone is holding a hoe.",79-11.jpg,79-7.jpg,4,16,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-7.jpg
True,"The hoe in one of the pictures is placed and not held by anyone, while in the picture next to it, someone is holding a hoe.",79-9.jpg,79-3.jpg,4,17,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-9.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-3.jpg
False,"The hoe in one of the pictures is placed and not held by anyone, while in the picture next to it, someone is holding a hoe.",79-10.jpg,79-8.jpg,4,18,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-10.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-8.jpg
False,"The hoe in one of the pictures is placed and not held by anyone, while in the picture next to it, someone is holding a hoe.",79-0.jpg,79-2.jpg,4,19,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/79-Cangkul/79-2.jpg
True,"The cockatoo in one of the pictures is standing on a branch, while in the picture next to it, a bird is standing on the ground.",5-6.jpg,5-7.jpg,5,20,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-6.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-7.jpg
False,"The cockatoo in one of the pictures is standing on a branch, while in the picture next to it, a bird is standing on the ground.",5-0.jpg,5-4.jpg,5,21,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-4.jpg
True,"The cockatoo in one of the pictures is standing on a branch, while in the picture next to it, a bird is standing on the ground.",5-11.jpg,5-3.jpg,5,22,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-3.jpg
False,"The cockatoo in one of the pictures is standing on a branch, while in the picture next to it, a bird is standing on the ground.",5-9.jpg,5-5.jpg,5,23,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-9.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/5-Kakatua/5-5.jpg
False,Both pictures show cooking utensils and cutlery made of wood.,36-4.jpg,36-2.jpg,6,24,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-2.jpg
True,Both pictures show cooking utensils and cutlery made of wood.,36-11.jpg,36-7.jpg,6,25,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-7.jpg
True,Both pictures show cooking utensils and cutlery made of wood.,36-9.jpg,36-6.jpg,6,26,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-9.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-6.jpg
False,Both pictures show cooking utensils and cutlery made of wood.,36-0.jpg,36-10.jpg,6,27,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/36-Sendok/36-10.jpg
False,"Empty kitchen, no one in both pictures.",70-8.jpg,70-7.jpg,7,28,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-8.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-7.jpg
True,"Empty kitchen, no one in both pictures.",70-3.jpg,70-11.jpg,7,29,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-3.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-11.jpg
True,"Empty kitchen, no one in both pictures.",70-6.jpg,70-2.jpg,7,30,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-6.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-2.jpg
False,"Empty kitchen, no one in both pictures.",70-4.jpg,70-0.jpg,7,31,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/70-Dapur/70-0.jpg
True,Both images are images of celebrations in the Confucian religion.,95-6.jpg,95-9.jpg,8,32,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-6.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-9.jpg
False,Both images are images of celebrations in the Confucian religion.,95-10.jpg,95-1.jpg,8,33,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-10.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-1.jpg
False,Both images are images of celebrations in the Confucian religion.,95-3.jpg,95-7.jpg,8,34,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-3.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-7.jpg
True,Both images are images of celebrations in the Confucian religion.,95-8.jpg,95-4.jpg,8,35,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-8.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/95-Agama_Konghucu/95-4.jpg
True,"The picture on the left is a picture of several forks without food, and the picture on the right is a picture of a fork with food.",37-0.jpg,37-2.jpg,9,36,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-0.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-2.jpg
True,"The picture on the left is a picture of several forks without food, and the picture on the right is a picture of a fork with food.",37-6.jpg,37-7.jpg,9,37,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-6.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-7.jpg
False,"The picture on the left is a picture of several forks without food, and the picture on the right is a picture of a fork with food.",37-1.jpg,37-11.jpg,9,38,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-1.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-11.jpg
False,"The picture on the left is a picture of several forks without food, and the picture on the right is a picture of a fork with food.",37-4.jpg,37-8.jpg,9,39,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/37-Garpu/37-8.jpg
False,"In the picture on the left, a group of children are holding angklung one by one, while in the picture on the right, a row of angklung is placed on a shelf.",52-8.jpg,52-1.jpg,10,40,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-8.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-1.jpg
True,"In the picture on the left, a group of children are holding angklung one by one, while in the picture on the right, a row of angklung is placed on a shelf.",52-4.jpg,52-0.jpg,10,41,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-4.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-0.jpg
False,"In the picture on the left, a group of children are holding angklung one by one, while in the picture on the right, a row of angklung is placed on a shelf.",52-11.jpg,52-2.jpg,10,42,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-11.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-2.jpg
True,"In the picture on the left, a group of children are holding angklung one by one, while in the picture on the right, a row of angklung is placed on a shelf.",52-10.jpg,52-6.jpg,10,43,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-10.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/52-Angklung/52-6.jpg
False,"In the picture on the left, there is a white cat sitting on its stomach, while in the picture on the right, there is a brown cat sitting still with both front legs standing and two hind legs sitting.",6-2.jpg,6-1.jpg,11,44,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-2.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-1.jpg
True,"In the picture on the left, there is a white cat sitting on its stomach, while in the picture on the right, there is a brown cat sitting still with both front legs standing and two hind legs sitting.",6-5.jpg,6-8.jpg,11,45,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-5.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-8.jpg
False,"In the picture on the left, there is a white cat sitting on its stomach, while in the picture on the right, there is a brown cat sitting still with both front legs standing and two hind legs sitting.",6-3.jpg,6-10.jpg,11,46,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-3.jpg,/data/tir/projects/tir4/corpora/marvl/id/images/6-Kucing/6-10.jpg
